"","kadencja","etap","osoba","klub"
"1","3","start","Tomasz Karwowski","Akcja Wyborcza Solidarność"
"2","3","start","Kazimierz Ujazdowski","Akcja Wyborcza Solidarność"
"3","3","start","Jerzy Polaczek","Akcja Wyborcza Solidarność"
"4","3","start","Maciej Stanisław Jankowski","Akcja Wyborcza Solidarność"
"5","3","start","Piotr Krutul","Akcja Wyborcza Solidarność"
"6","3","start","Michał Kamiński","Akcja Wyborcza Solidarność"
"7","3","start","Jan Piątkowski","Akcja Wyborcza Solidarność"
"8","3","start","Henryk Goryszewski","Akcja Wyborcza Solidarność"
"9","3","start","Mariusz Olszewski","Akcja Wyborcza Solidarność"
"10","3","start","Zbigniew Chrzanowski","Akcja Wyborcza Solidarność"
"11","3","start","Gabriel Janowski","Akcja Wyborcza Solidarność"
"12","3","start","Marian Poślednik","Akcja Wyborcza Solidarność"
"13","3","start","Wiesław Walendziak","Akcja Wyborcza Solidarność"
"14","3","start","Bronisław Komorowski","Akcja Wyborcza Solidarność"
"15","3","start","Ryszard Matusiak","Akcja Wyborcza Solidarność"
"16","3","start","Aleksander Hall","Akcja Wyborcza Solidarność"
"17","3","start","Mirosław Styczeń","Akcja Wyborcza Solidarność"
"18","3","start","Paweł Graś","Akcja Wyborcza Solidarność"
"19","3","start","Krzysztof Jurgiel","Akcja Wyborcza Solidarność"
"20","3","start","Andrzej Brzeski","Akcja Wyborcza Solidarność"
"21","3","start","Zbigniew Eysmont","Akcja Wyborcza Solidarność"
"22","3","start","Andrzej Wojtyła","Akcja Wyborcza Solidarność"
"23","3","start","Krzysztof Kamiński","Akcja Wyborcza Solidarność"
"24","3","start","Piotr Żak","Akcja Wyborcza Solidarność"
"25","3","start","Ludwik Dorn","Akcja Wyborcza Solidarność"
"26","3","start","Halina Nowina Konopka","Akcja Wyborcza Solidarność"
"27","3","start","Tadeusz Cymański","Akcja Wyborcza Solidarność"
"28","3","start","Andrzej Zapałowski","Akcja Wyborcza Solidarność"
"29","3","start","Michał Janiszewski","Akcja Wyborcza Solidarność"
"30","3","start","Jerzy Budnik","Akcja Wyborcza Solidarność"
"31","3","start","Ireneusz Niewiarowski","Akcja Wyborcza Solidarność"
"32","3","start","Jerzy Kropiwnicki","Akcja Wyborcza Solidarność"
"33","3","start","Janina Kraus","Akcja Wyborcza Solidarność"
"34","3","start","Marcin Libicki","Akcja Wyborcza Solidarność"
"35","3","start","Adam Słomka","Akcja Wyborcza Solidarność"
"36","3","start","Jan Łopuszański","Akcja Wyborcza Solidarność"
"37","3","start","Artur Balazs","Akcja Wyborcza Solidarność"
"38","3","start","Grażyna Sołtyk","Akcja Wyborcza Solidarność"
"39","3","start","Anna Sobecka","Akcja Wyborcza Solidarność"
"40","3","start","Kazimierz Marcinkiewicz","Akcja Wyborcza Solidarność"
"41","3","start","Krzysztof Oksiuta","Akcja Wyborcza Solidarność"
"42","3","start","Wojciech Arkuszewski","Akcja Wyborcza Solidarność"
"43","3","start","Tadeusz Maćkała","Akcja Wyborcza Solidarność"
"44","3","start","Ryszard Kędra","Akcja Wyborcza Solidarność"
"45","3","start","Adam Bielan","Akcja Wyborcza Solidarność"
"46","3","start","Witold Nieduszyński","Akcja Wyborcza Solidarność"
"47","3","start","Józef Dąbrowski","Akcja Wyborcza Solidarność"
"48","3","start","Zdzisława Kobylińska","Akcja Wyborcza Solidarność"
"49","3","start","Marian Piłka","Akcja Wyborcza Solidarność"
"50","3","start","Stanisław Misztal","Akcja Wyborcza Solidarność"
"51","3","start","Edward Daszkiewicz","Akcja Wyborcza Solidarność"
"52","3","start","Dorota Arciszewska-Mielewczyk","Akcja Wyborcza Solidarność"
"53","3","start","Konstanty Miodowicz","Akcja Wyborcza Solidarność"
"54","3","start","Maciej Płażyński","Akcja Wyborcza Solidarność"
"55","3","start","Leszek Piotrowski","Akcja Wyborcza Solidarność"
"56","3","start","Romuald Szeremietiew","Akcja Wyborcza Solidarność"
"57","3","start","Jacek Janiszewski","Akcja Wyborcza Solidarność"
"58","3","start","Mariusz Kamiński","Akcja Wyborcza Solidarność"
"59","3","start","Grzegorz Schreiber","Akcja Wyborcza Solidarność"
"60","3","start","Mariusz Grabowski","Akcja Wyborcza Solidarność"
"61","3","start","Bernard Szweda","Akcja Wyborcza Solidarność"
"62","3","start","Jerzy Borowczak","Akcja Wyborcza Solidarność"
"63","3","start","Zygmunt Berdychowski","Akcja Wyborcza Solidarność"
"64","3","start","Witold Tomczak","Akcja Wyborcza Solidarność"
"65","3","start","Edward Maniura","Akcja Wyborcza Solidarność"
"66","3","start","Jan Rokita","Akcja Wyborcza Solidarność"
"67","3","start","Waldemar Sikora","Akcja Wyborcza Solidarność"
"68","2","start","Jerzy Wuttke","Bezpartyjny Blok Wspierania Reform"
"69","2","start","Jacek Vieth","Bezpartyjny Blok Wspierania Reform"
"70","2","start","Bernard Szweda","Bezpartyjny Blok Wspierania Reform"
"71","2","start","Paweł Saar","Bezpartyjny Blok Wspierania Reform"
"72","2","start","Jerzy Eysymontt","Bezpartyjny Blok Wspierania Reform"
"73","2","start","Andrzej Gołaś","Bezpartyjny Blok Wspierania Reform"
"74","2","start","Henryk Dyrda","Bezpartyjny Blok Wspierania Reform"
"75","2","start","Jerzy Gwiżdż","Bezpartyjny Blok Wspierania Reform"
"76","2","start","Hans Szyc","Bezpartyjny Blok Wspierania Reform"
"77","1","start","Wojciech Mojzesowicz","Bygdoska Lista Jedności Ludowej"
"78","2","end","Ryszard Burski","Akcja Wyborcza Solidarność"
"79","2","end","Krzysztof Popenda","Akcja Wyborcza Solidarność"
"80","2","end","Janusz Koza","Akcja Wyborcza Solidarność"
"81","2","end","Adam Słomka","Akcja Wyborcza Solidarność"
"82","2","end","Kazimierz Wilk","Akcja Wyborcza Solidarność"
"83","2","end","Grzegorz Kaczmarzyk","Akcja Wyborcza Solidarność"
"84","2","end","Wojciech Błasiak","Akcja Wyborcza Solidarność"
"85","2","end","Hans Szyc","Akcja Wyborcza Solidarność"
"86","2","end","Henryk Dyrda","Akcja Wyborcza Solidarność"
"87","2","end","Robert Kościelny","Akcja Wyborcza Solidarność"
"88","2","end","Janina Kraus","Akcja Wyborcza Solidarność"
"89","2","end","Bernard Szweda","Akcja Wyborcza Solidarność"
"90","2","end","Leszek Smykowski","Akcja Wyborcza Solidarność"
"91","2","end","Krzysztof Laga","Akcja Wyborcza Solidarność"
"92","2","end","Andrzej Kaźmierczak","Akcja Wyborcza Solidarność"
"93","1","end","Andrzej Kostarczyk","Ruch dla Rzeczypospolitej"
"94","1","end","Stanisław Węgłowski","Ruch dla Rzeczypospolitej"
"95","1","end","Janusz Choiński","Ruch dla Rzeczypospolitej"
"96","1","end","Wojciech Włodarczyk","Ruch dla Rzeczypospolitej"
"97","1","end","Roman Bartoszcze","Ruch dla Rzeczypospolitej"
"98","1","end","Paweł Kotlarski","Ruch dla Rzeczypospolitej"
"99","1","end","Kazimierz Barczyk","Ruch dla Rzeczypospolitej"
"100","1","end","Jan Olszewski","Ruch dla Rzeczypospolitej"
"101","1","end","Przemysław Hniedziewicz","Ruch dla Rzeczypospolitej"
"102","1","end","Jan Mizikowski","Ruch dla Rzeczypospolitej"
"103","1","end","Andrzej Anusz","Ruch dla Rzeczypospolitej"
"104","1","end","Piotr Wójcik","Ruch dla Rzeczypospolitej"
"105","1","end","Danuta Wierzbicka","Ruch dla Rzeczypospolitej"
"106","1","end","Kazimierz Świtoń","Ruch dla Rzeczypospolitej"
"107","1","end","Cezary Piasecki","Ruch dla Rzeczypospolitej"
"108","1","end","Edmund Krasowski","Ruch dla Rzeczypospolitej"
"109","3","start","Kosma Złotowski","Akcja Wyborcza Solidarność"
"110","3","start","Szymon Niemiec","Akcja Wyborcza Solidarność"
"111","3","end","Marian Krzaklewski","Akcja Wyborcza Solidarność"
"112","3","end","Zbigniew Mroziński","Akcja Wyborcza Solidarność"
"113","3","start","Ryszard Wawryniewicz","Akcja Wyborcza Solidarność"
"114","3","start","Kazimierz Kapera","Akcja Wyborcza Solidarność"
"115","3","end","Ewa Sikorska-Trela","Akcja Wyborcza Solidarność"
"116","3","end","Leszek Szewc","Akcja Wyborcza Solidarność"
"117","3","end","Krzysztof Tchórzewski","Akcja Wyborcza Solidarność"
"118","3","end","Marian Jaszewski","Akcja Wyborcza Solidarność"
"119","3","start","Zbigniew Mroziński","Akcja Wyborcza Solidarność"
"120","3","start","Tadeusz Lewandowski","Akcja Wyborcza Solidarność"
