"klub","kolor","wikilink","logo","short"
"Akcja Wyborcza Solidarność","#FFFF00","/wiki/Akcja_Wyborcza_Solidarno%C5%9B%C4%87","OK","AWS"
"Bezpartyjny Blok Wspierania Reform","#000000","/wiki/Bezpartyjny_Blok_Wspierania_Reform","brak loga","BBWR"
"Chrześcijańska Demokracja","#BE282D","/wiki/Chrze%C5%9Bcija%C5%84ska_Demokracja_(koalicja)","brak loga","CD"
"Klub Polski Program Liberalny","#######","/wiki/Polski_Program_Liberalny","brak loga","KPPL"
"Konfederacja Polski Niepodległej","#333300","/wiki/Konfederacja_Polski_Niepodleg%C5%82ej","OK","KPN"
"Konwencja Polska","#33CC66","/wiki/Konwencja_Polska","brak loga","KP"
"Kukiz’15","#000000","/wiki/Kukiz%E2%80%9915","OK","K"
"Liga Polskich Rodzin","#2DA0D2","/wiki/Liga_Polskich_Rodzin","OK","LPR"
"Mniejszość Niemiecka","#0780C4","/wiki/Mniejszo%C5%9B%C4%87_Niemiecka_(komitet_wyborczy)","OK","MN"
"Nowoczesna","#165DA7","/wiki/Nowoczesna","OK","N"
"NSZZ Solidarność","#FFFF00","/wiki/Niezale%C5%BCny_Samorz%C4%85dny_Zwi%C4%85zek_Zawodowy_%E2%80%9ESolidarno%C5%9B%C4%87%E2%80%9D","OK","NSZZS"
"Platforma Obywatelska","#FCA241","/wiki/Platforma_Obywatelska","OK","PO"
"Polska Jest Najważniejsza","#8C0046","/wiki/Polska_Jest_Najwa%C5%BCniejsza","OK","PJN"
"Polskie Stronnictwo Ludowe","#1BB100","/wiki/Polskie_Stronnictwo_Ludowe","OK","PSL"
"Porozumienie Centrum","#FFFF66","/wiki/Porozumienie_Centrum","OK","PC"
"Porozumienie Ludowe","#008000","/wiki/Polskie_Stronnictwo_Ludowe_%E2%80%93_Porozumienie_Ludowe","brak loga","PL"
"Posłowie niezrzeszeni","#E6E6E6","---","brak loga","P"
"Prawo i Sprawiedliwość","#073A76","/wiki/Prawo_i_Sprawiedliwo%C5%9B%C4%87","OK","PS"
"Ruch dla Rzeczypospolitej","#002156","/wiki/Ruch_dla_Rzeczypospolitej","brak loga","RR"
"Ruch Odbudowy Polski","#AD1111","/wiki/Ruch_Odbudowy_Polski","OK","ROP"
"Ruch Palikota","#F08705","/wiki/Ruch_Palikota","OK","RP"
"Samoobrona Rzeczpospolitej Polskiej","#FAD700","/wiki/Samoobrona_Rzeczpospolitej_Polskiej","OK","SRP"
"Socjaldemokracja Polska","#C8191E","/wiki/Socjaldemokracja_Polska","OK","SP"
"Sojusz Lewicy Demokratycznej","#E2001A","/wiki/Sojusz_Lewicy_Demokratycznej","OK","SLD"
"Stronnictwo Konserwatywno-Ludowe","#33CC66","/wiki/Stronnictwo_Konserwatywno-Ludowe","OK","SKL"
"Unia Demokratyczna","#FF9900","/wiki/Unia_Demokratyczna","OK","UD"
"Unia Pracy","#CC0033","/wiki/Unia_Pracy","OK","UP"
"Unia Wolności","#0A3C6E","/wiki/Unia_Wolno%C5%9Bci","OK","UW"
"Zjednoczenie Chrześcijańsko-Narodowe","#007FFF","/wiki/Zjednoczenie_Chrze%C5%9Bcija%C5%84sko-Narodowe","OK","ZCN"
"Zjednoczona Prawica","#FFFF00","/wiki/Zjednoczona_Prawica","OK","ZP"
