klub,kadencja_ef,liczba,kolor,wikilink
Akcja Polska,1.5,3,#E9967A,/wiki/Akcja_Polska
Akcja Wyborcza Solidarność,3.0,201,#FFFF00,/wiki/Akcja_Wyborcza_Solidarno%C5%9B%C4%87
Akcja Wyborcza Solidarność,3.5,134,#FFFF00,/wiki/Akcja_Wyborcza_Solidarno%C5%9B%C4%87
Alternatywa,3.5,4,#336699,/wiki/Alternatywa_Ruch_Spo%C5%82eczny
Bezpartyjny Blok Wspierania Reform,2.0,7,#000000,/wiki/Bezpartyjny_Blok_Wspierania_Reform
Bezpartyjny Blok Wspierania Reform,2.5,7,#000000,/wiki/Bezpartyjny_Blok_Wspierania_Reform
Biało-Czerwoni,7.5,4,#FF0004,/wiki/Bia%C5%82o-Czerwoni
Bygdoska Lista Jedności Ludowej,1.0,1,,
Chrześcijańska Demokracja,1.0,5,#BE282D,/wiki/Chrze%C5%9Bcija%C5%84ska_Demokracja_(koalicja)
Chrześcijańska Demokracja,1.5,6,#BE282D,/wiki/Chrze%C5%9Bcija%C5%84ska_Demokracja_(koalicja)
Dom Ojczysty,4.5,10,#3300FF,/wiki/Dom_Ojczysty
Federacyjny Klub Parlamentarny na rzecz AWS,2.0,15,#FFFF00,/wiki/Federacyjny_Klub_Parlamentarny_na_rzecz_AWS
Federacyjny Klub Parlamentarny na rzecz AWS,2.5,15,#FFFF00,/wiki/Federacyjny_Klub_Parlamentarny_na_rzecz_AWS
Klub Polski Program Liberalny,1.0,44,,
Klub Polski Program Liberalny,1.5,48,,
Komitet Wyborczy Prawosławnych,1.0,1,,
Konfederacja Polski Niepodległej,1.0,46,#333300,/wiki/Konfederacja_Polski_Niepodleg%C5%82ej
Konfederacja Polski Niepodległej,1.5,47,#333300,/wiki/Konfederacja_Polski_Niepodleg%C5%82ej
Konfederacja Polski Niepodległej,2.0,4,#333300,/wiki/Konfederacja_Polski_Niepodleg%C5%82ej
Konfederacja Polski Niepodległej,2.5,4,#333300,/wiki/Konfederacja_Polski_Niepodleg%C5%82ej
Kongres Liberalno-Demokratyczny,1.0,4,,
Konserwatywno-Ludowe,4.5,5,,
Konwencja Polska,1.5,28,#33CC66,/wiki/Konwencja_Polska
Koło Konserwatywno-Ludowe,2.0,8,#33CC66,/wiki/Ko%C5%82o_Konserwatywno-Ludowe
