kadencja,partia,kolor,wikilink
1,Sojusz Lewicy Demokratycznej,#E2001A,/wiki/Sojusz_Lewicy_Demokratycznej
1,Unia Demokratyczna,#FF9900,/wiki/Unia_Demokratyczna
1,Polskie Stronnictwo Ludowe,#1BB100,/wiki/Polskie_Stronnictwo_Ludowe
1,Polski Program Liberalny,#FCA241,/wiki/Polski_Program_Liberalny
1,Konfederacja Polski Niepodległej,#333300,/wiki/Konfederacja_Polski_Niepodleg%C5%82ej
1,Zjednoczenie Chrześcijańsko-Narodowe,#007FFF,/wiki/Zjednoczenie_Chrze%C5%9Bcija%C5%84sko-Narodowe
1,Konwencja Polska,#33CC66,/wiki/Konwencja_Polska
1,Niezależny Samorządny Związek Zawodowy „Solidarność”,#FFFF00,/wiki/Niezale%C5%BCny_Samorz%C4%85dny_Zwi%C4%85zek_Zawodowy_%E2%80%9ESolidarno%C5%9B%C4%87%E2%80%9D
1,Porozumienie Centrum,#FFFF66,/wiki/Porozumienie_Centrum
1,Porozumienie Ludowe,#008000,/wiki/Polskie_Stronnictwo_Ludowe_%E2%80%93_Porozumienie_Ludowe
1,Ruch dla Rzeczypospolitej,#002156,/wiki/Ruch_dla_Rzeczypospolitej
1,Mniejszość Niemiecka,#0780C4,/wiki/Mniejszo%C5%9B%C4%87_Niemiecka_(komitet_wyborczy)
1,Chrześcijańska Demokracja,#BE282D,/wiki/Chrze%C5%9Bcija%C5%84ska_Demokracja_(koalicja)
1,Unia Pracy,#CC0033,/wiki/Unia_Pracy
1,Unia Polityki Realnej,#0091D2,/wiki/Unia_Polityki_Realnej
1,Akcja Polska,#E9967A,/wiki/Akcja_Polska
1,"Partia Emerytów i Rencistów ""Nadzieja""",#007FFF,/wiki/Partia_Emeryt%C3%B3w_i_Rencist%C3%B3w_%22Nadzieja%22
1,Niezrzeszeni,#E6E6E6,
2,Sojusz Lewicy Demokratycznej,#E2001A,/wiki/Sojusz_Lewicy_Demokratycznej
2,Polskie Stronnictwo Ludowe,#1BB100,/wiki/Polskie_Stronnictwo_Ludowe
2,Unia Wolności,#0A3C6E,/wiki/Unia_Wolno%C5%9Bci
2,Unia Pracy,#CC0033,/wiki/Unia_Pracy
2,Federacyjny Klub Parlamentarny na rzecz AWS,#FFFF00,/wiki/Federacyjny_Klub_Parlamentarny_na_rzecz_AWS
2,Koło Konserwatywno-Ludowe,#33CC66,/wiki/Ko%C5%82o_Konserwatywno-Ludowe
2,Bezpartyjny Blok Wspierania Reform,#000000,/wiki/Bezpartyjny_Blok_Wspierania_Reform
2,Konfederacja Polski Niepodległej,#333300,/wiki/Konfederacja_Polski_Niepodleg%C5%82ej
2,Mniejszość Niemiecka,#0780C4,/wiki/Mniejszo%C5%9B%C4%87_Niemiecka_(komitet_wyborczy)
2,Porozumienie Prawicy – Solidarni w Wyborach,#FFF8DC,/wiki/Ruch_Solidarni_w_Wyborach
2,Nowa Demokracja,#C8191E,/wiki/Ko%C5%82o_Nowa_Demokracja
2,Polska Partia Socjalistyczna,#CC0000,/wiki/Polska_Partia_Socjalistyczna_(po_1987)
2,Niezrzeszeni,#E6E6E6,
